primary_isbn13,title,author,publish_year,page_count,publisher,ol_edition_count,ol_subjects,ol_ebook_access,ol_languages,ol_first_publish_year,is_bestseller
9.78193E+12,Paper Mario,Alan Averill,2001,128,"Nintendo of America, Incorporated",1,"['Games', 'Video & Electronic - Nintendo', 'Games / Gamebooks', 'Nintendo 64', 'N64', 'Video games', 'Videogames', 'Strategy', 'Pastimes', 'Hobbies']",borrowable,['eng'],2001,0
9.78158E+12,"Vault Guide to Schmoozing, 3rd Edition (Vault Guide to Schmoozing)",Marcy Lerner,2001,316,"Vault, Inc.",1,[],no_ebook,['eng'],2001,0
9.78077E+12,Thomas Hobbes,Sir Leslie Stephen,2003,248,Kessinger Publishing,1,[],no_ebook,['eng'],2003,0
9.78076E+12,Big Red Barns 2004 Calendar,,2003,14,Browntrout Publishers,1,"['Miscellaneous Items', 'United States - State & Local - General', 'Non-Classifiable', 'Calendars - General History', 'Calendar']",no_ebook,['eng'],2003,0
9.78013E+12,Automotive Brake Systems,James D. Halderman,2003,400,Prentice Hall,2,[],no_ebook,['eng'],2003,0
9.78186E+12,Colin Chapman Wayward Genius,Mike Lawrence,2003,224,Breedon Books Publishing,1,[],no_ebook,['eng'],2003,0
9.78144E+12,"The Russian Revolution, The Jugo-Slav Movement",Alexander Petrunkevitch,2003,116,IndyPublish,3,[],no_ebook,['eng'],2003,0
9.78158E+12,Brazil's diverse peoples,Oswaldo Mario Serra Truzzi,2003,325,"ABC-CLIO, LLC",1,"['Ethnology', 'Ethnic relations', 'Pluralism (Social sciences)', 'Cultural pluralism', 'Ethnology, brazil']",no_ebook,['eng'],2003,0
9.78184E+12,Children's Trusts Developing Integrated Services for Children in England,,2004,,University of East Anglia,1,[],no_ebook,['eng'],2004,0
9.78043E+12,Freeze-drying/lyophilization of pharmaceutical and biological products,Louis Rey,2004,600,Informa Healthcare,6,"['Pharmaceutical Preparations', 'Biological Products', 'Freeze Drying', 'Freeze-drying', 'Methods']",no_ebook,['eng'],2004,0
9.78016E+12,"Handbook of North American Indians, Volume 14",,2004,1058,Smithsonian Institution,1,[],no_ebook,['eng'],2004,0
9.78185E+12,Wilbie finds a friend,Sally Chambers,2004,24,"Piccadilly Press, Limited",3,"['Friendship', 'Fiction', 'Ageing']",borrowable,['eng'],2004,0
9.78191E+12,International Law and Arbitration,Todd Weiler,2004,822,Cameron May,1,"['International commercial arbitration', 'Investments, Foreign (International law)', 'Foreign Investments', 'Law and legislation', 'International Centre for Settlement of Investment Disputes']",no_ebook,['eng'],2004,0
9.7819E+12,"Thinking careers, talking careers",Sarah Lowkis,2004,136,Lifetime Careers,1,"['Vocational guidance', 'Career education', 'Berufswahlunterricht']",borrowable,['eng'],2004,0
9.78085E+12,Facility Validation,Graham C. Wrigley,2004,152,Informa Healthcare,3,"['Drug Industry', 'Facility Regulation and Control', 'Pharmaceutical technology', 'Standards', 'Pharmaceutical industry', 'Quality control', 'Organization & administration', 'Quality Control']",unclassified,['eng'],2004,0
9.7819E+12,Jaume Plensa,Jaume Plensa,2004,95,Albion,1,"['Sculptors', 'Modern Sculpture', 'Exhibitions']",no_ebook,['eng'],2004,0
9.78141E+12,For The Young At Heart,Samuel Wilson,2004,114,Xlibris Corporation,2,[],no_ebook,['eng'],2004,0
9.7806E+12,Dreams and Schemes,PATTYE (ECHO) THOMAS,2006,188,"iUniverse, Inc.",1,"['Montana, fiction', 'Fiction, romance, historical, general']",no_ebook,['eng'],2006,0
9.78096E+12,Experience Royal Dornoch,Richard Goodale,2006,106,OptimizeGolf,1,[],no_ebook,['eng'],2006,0
9.78026E+12,One Summer in Italy,Lucy Gordon,2006,187,"Harlequin Mills & Boon, Limited",1,"['Italy, fiction', 'Fiction, romance, general']",no_ebook,['eng'],2006,0
9.78903E+12,History of the Literary Cultures of East-central Europe,John Neubauer,2006,512,John Benjamins Publishing Co,1,"['Literatures', 'Literature and history', 'History and criticism', 'History', 'Littérature et histoire', 'Letterkunde', 'Histoire', 'Histoire et critique', 'Littérature est-européenne', 'East European literature']",unclassified,['eng'],2006,0
9.7816E+12,Nicholas Kahn & Richard Selesnick,Erez Lieberman,2006,70,Aperture,1,[],no_ebook,['eng'],2006,0
9.78055E+12,The Works Of William H. Seward V3,William Henry Seward,2006,696,"Kessinger Publishing, LLC",2,[],no_ebook,['eng'],2006,0
9.78026E+12,"The Letters of George Santayana, Book Seven, 1941-1947: The Works of George Santayana, Volume V, Book Seven (George Santayana: Definitive Works)",George Santayana,2007,645,The MIT Press,1,"['Santayana, george, 1863-1952', 'Philosophers, correspondence']",no_ebook,['eng'],2007,0
9.78135E+12,World Food Security,D. Shaw,2007,520,Palgrave Macmillan Limited,3,"['Food supply', 'Food relief', 'Agricultural assistance', 'Economic development', 'Hunger']",no_ebook,['eng'],2007,0
9.78038E+12,Random House World Atlas and Encyclopedia,Random House,2007,448,Random House Reference,1,"['Atlases', 'Encyclopedias and dictionaries']",borrowable,['eng'],2007,0
9.78751E+12,Reading in China,Hui Yu,2007,155,China Intercontinental Press,1,"['Reviews', 'Book reviews', 'Books', 'Chinese imprints']",borrowable,['eng'],2007,0
9.78087E+12,Lithuanians in Michigan (Discovering the Peoples of Michigan Series),Marius Grazulis,2007,96,Michigan State University Press,1,"['Lithuanian Americans', 'History', 'Immigrants', 'Social life and customs', 'Ethnic relations', 'Emigration and immigration', 'United states, ethnic relations', 'Michigan, social conditions', 'Michigan, social life and customs', 'Lithuanians, united states']",borrowable,['eng'],2007,0
9.78011E+12,Serious Organised Crime and Police Act 2005 (Amendment of Section 76 (3)) Order 2007,Great Britain,2007,,"Stationery Office, The",1,[],no_ebook,['eng'],2007,0
9.78143E+12,"Outlines & Highlights for American Democracy in Peril: Eight Callenges to Americas Future by Hudson, ISBN",Cram101 Textbook Reviews Staff,2007,208,AIPI,1,[],no_ebook,['eng'],2007,0
9.7816E+12,Running Away to Home,Chris Owen,2007,,Torquere Press,1,"['Fiction, gay', 'Fiction, erotica, general']",no_ebook,['eng'],2007,0
9.78047E+12,Selected Papers in Network and System Administration,"Anderson, Eric",2007,520,"Wiley & Sons, Incorporated, John",1,"['Computer networks', 'Systems engineering']",no_ebook,['eng'],2007,0
9.78144E+12,Midwife of the Blue Ridge,Christine Blevins,2008,420,Berkley Pub. Group,2,"['Fiction', 'Scots', 'Historical Fiction', 'Midwives', 'Women pioneers', 'Fiction, historical, general', 'Blue ridge mountains, fiction', 'Midwives, fiction']",printdisabled,['eng'],2008,0
9.78284E+12,L'art contemporain dans les espaces publics,Marianne Homiridis,2008,240,La BF15,1,"['Public art', 'Guidebooks', 'Public spaces', 'Art and society', 'Buildings, structures']",no_ebook,['eng'],2008,0
9.78141E+12,"Harnessing the Earthworm; a Practical Inquiry Into Soil-building, Soil-conditioning and Plant Nutrition Through the Action of Earthworms",Thomas Jason Barrett,2008,201,Read Books,3,[],no_ebook,['eng'],2008,0
9.78141E+12,Christian Missions in Burm,W. C. B. Purser,2008,328,Read Books,1,[],no_ebook,['eng'],2008,0
9.78075E+12,The retail value chain,Sami Finne,2008,,Kogan Page,3,"['Consolidation and merger of corporations', 'Management', 'Consumers', 'Competition', 'Retail trade', 'Retail trade, management']",no_ebook,['eng'],2008,0
9.78999E+12,Black aroma,Mwanzo Millinga,2008,143,Tanzania Coffee Research Institute,1,[],no_ebook,['eng'],2008,0
9.78909E+12,Alternative Educational Futures,Marcus Bussey,2008,320,BRILL,1,"['Educational change', 'Education, philosophy']",no_ebook,['eng'],2008,0
9.78142E+12,Great balls of fire,Loren Long,2008,197,Aladdin Paperbacks,1,"['Juvenile fiction', 'Baseball stories', 'Supernatural', 'Brothers and sisters', 'History', 'Paranormal fiction', ""Children's fiction"", 'Baseball, fiction', 'Contests, fiction', 'Adventure and adventurers, fiction']",printdisabled,['eng'],2008,0
9.78039E+12,Mexican High,Liza Monroy,2008,352,Spiegel & Grau,1,"['Fiction', 'Americans', 'Teenage girls', 'Teenage girls in fiction', 'High school students', 'Americans in fiction', 'High school students in fiction']",no_ebook,['eng'],2008,0
9.78185E+12,Sea Change,Pat Nolan,2008,,"History Press Limited, The",1,"['Fishing boats', 'Fisheries, europe']",no_ebook,['eng'],2008,0
9.78032E+12,Software security engineering,Julia H. Allen,2008,315,Addison-Wesley,2,"['Computer networks', 'Security measures', 'Computer security', 'Software engineering', 'Computer networks, security measures']",no_ebook,['eng'],2008,0
9.78114E+12,Handbook of approach and avoidance motivation,Andrew J. Elliot,2008,584,Taylor & Francis Group,6,['Avoidance (Psychology)'],no_ebook,['eng'],2008,0
9.78161E+12,"International Journal of Ambient Computing and Intelligence, Issue 3",Kevin Curran,2009,,IGI Global,10,[],no_ebook,['eng'],2009,0
9.78006E+12,All in the family,Sierra Harimann,2009,32,HarperCollins,1,[],borrowable,['eng'],2009,0
9.78055E+12,Quebec,Marguerite Rodger,2009,44,Scholastic Canada,1,['Juvenile literature'],borrowable,['eng'],2009,0
9.78387E+12,"Interpretation in Polish, German and European Private Law",Bettina Heiderhoff,2010,120,sellier. european law publishers,1,"['Conflict of laws', 'Contracts', 'Law', 'Congresses', 'Interpretation and construction', 'Law, european union countries', 'Law, interpretation and construction']",no_ebook,['eng'],2010,0
9.78161E+12,"International Journal of Adaptive, Resilient and Autonomic Systems, Issue 1",Vincenzo De Florio,2010,,IGI Global,5,[],no_ebook,['eng'],2010,0
9.78144E+12,Great American Poet,Eric Thatcher,2010,66,CreateSpace Independent Publishing Platform,1,['Poetry (poetic works by one author)'],no_ebook,['eng'],2010,0
9.78981E+12,Recent Advances in Financial Engineering 2009,Masaaki Kijima,2010,,World Scientific Publishing Co Pte Ltd,1,['Financial engineering'],no_ebook,['eng'],2010,0
9.78158E+12,Exercises for brain health,William Smith,2010,,Hatherleigh Press,1,"['Methods', 'Alzheimer Disease', 'Patients', 'Exercise Therapy', 'Dementia', 'Rehabilitation', ""Alzheimer's disease"", 'Health', 'Physical fitness']",borrowable,['eng'],2010,0
9.78145E+12,CLEP Review Questions - Human Growth and Development,Brent W. Knapp,2010,62,CreateSpace Independent Publishing Platform,1,"['College-level examinations', 'Universities and colleges, entrance examinations', 'Human growth']",no_ebook,['eng'],2010,0
9.78364E+12,Geobiology,N. Noffke,2010,194,Springer,1,"['Sedimentation and deposition', 'Microbial mats', 'Geobiology', 'Microbial ecology']",no_ebook,['eng'],2010,0
9.78031E+12,Hepatitis and liver cancer,Heather M. Colvin,2010,232,National Academies Press,1,"['Viral Hepatitis Vaccines', 'Cancer', 'Complications', 'Liver', 'Hepatitis B', 'Hepatitis C', 'Prevention & control', 'Therapeutic use', 'Liver Neoplasms']",no_ebook,['eng'],2010,0
9.7816E+12,Adam Sandler,Michael A. Schuman,2010,,"Enslow Publishing, LLC",1,"['Actors and actresses', 'Actors, juvenile literature', 'United states, biography, juvenile literature']",no_ebook,['eng'],2010,0
9.78145E+12,21 Ways a Kid Can Make Money,Katrina Pate,2010,48,CreateSpace Independent Publishing Platform,1,['Money-making projects for children'],no_ebook,['eng'],2010,0
9.78145E+12,Kali - Bali,Atma Ananda,2010,62,CreateSpace Independent Publishing Platform,1,"['Bali island (indonesia), social life and customs', 'Bali island (indonesia), religion']",no_ebook,['eng'],2010,0
9.78194E+12,The Heart of the stranger,Ali Botein-Furrevig,2010,199,ComteQ Publishing,1,"['Hasidim', 'History']",no_ebook,['eng'],2010,0
9.78141E+12,"Alice, or the Mysteries Book 07","Edward Bulwer Lytton, Baron Lytton",2010,,HardPress,1,"['Fiction, romance, historical, general', 'England, fiction']",no_ebook,['eng'],2010,0
9.78042E+12,Cost-benefit analysis in multi-level government in Europe and the USA,Alessandro Ferrara,2010,,Routledge,1,[],no_ebook,['eng'],2010,0
9.78114E+12,"Cultural Awareness in Nursing and Health Care, Second Edition",Christine Hogg,2010,264,Taylor & Francis Group,3,[],no_ebook,['eng'],2010,0
9.78146E+12,Devoted to Bondage,Regan Dane,2011,,Smashwords,1,[],no_ebook,['eng'],2011,0
9.78904E+12,The proto-germanic n-stems,Guus Kroonen,2011,424,Rodopi,1,"['Phonology', 'Germanic languages', 'Proto-Germanic language', 'N-Stamm']",no_ebook,['eng'],2011,0
9.7889E+12,Freud e Jung,Vincenzo Regina,2011,285,Vox,1,"['Correspondence', 'Psychoanalysis', 'History']",no_ebook,"['ita', 'eng']",2011,0
9.78146E+12,"Boy, Interrupted",Brian Boyer,2011,178,CreateSpace Independent Publishing Platform,1,"['Gays, biography']",no_ebook,['eng'],2011,0
9.78011E+12,Upper Tribunal (Immigration and Asylum Chamber) (Judicial Review) (England and Wales) Fees Order 2011,Great Britain,2011,,"Stationery Office, The",1,[],no_ebook,['eng'],2011,0
9.78186E+12,Memories Are Made Of This,Mike Esau,2011,142,Mortons Media Group,1,"['Railroads, great britain, history', 'Railroads, pictorial works']",borrowable,['eng'],2011,0
9.78162E+12,Conservation and ecology,John P. Rafferty,2011,263,Britannica Educational Pub. in association with Rosen Educational Services,3,"['Ecology', 'Biodiversity conservation', 'Nature conservation', 'SCIENCE', 'Life Sciences', 'Biological Diversity', 'NATURE', 'Animals', 'Wildlife']",borrowable,['eng'],2011,0
9.78144E+12,Hic!,Jaclin Azoulag,2011,24,Top That! Publishing plc,1,[],borrowable,['eng'],2011,0
9.78147E+12,Once Over Lightly,K. T. Fanning,2011,,Smashwords,1,[],no_ebook,['eng'],2011,0
9.78098E+12,Without Regret,R. L. Mathewson,2011,,Rerum Publishing House,1,"['Fiction, romance, general', 'Fiction, erotica, general']",no_ebook,['eng'],2011,0
9.78022E+12,Second Report 2011,Great Britain: Parliament: House of Commons: Speaker's Committee on the Electoral Commission,2011,,"Stationery Office, The",1,[],no_ebook,['eng'],2011,0
9.78008E+12,Workbook for Use with Welding,Joseph A. Ciaramitaro,2011,144,McGraw-Hill Education,1,['Welding'],no_ebook,['eng'],2011,0
9.78146E+12,Access Road,Maurice Gee,2011,,Bolinda Audio,2,[],no_ebook,['eng'],2011,0
9.78144E+12,A C[subscript p]-theory problem book,V. V. Tkachuk,2011,485,Springer,1,"['Function spaces', 'Topological spaces', 'Point set theory', 'Topology']",no_ebook,['eng'],2011,0
9.78145E+12,Guide to Welsh Poetry - a Collection of Historical Articles on the Poets and Poetry of Wales,Various,2011,118,Read Books,1,[],no_ebook,['eng'],2011,0
9.78147E+12,I Was a Teenage Devil - But I'm Alright Now!,T.D. McKinnon,2011,,Smashwords,1,[],no_ebook,['eng'],2011,0
9.78086E+12,Chinese Book of Animal Powers,Chungliang Al Al Huang,2011,32,"Kingsley Publishers, Jessica",1,[],no_ebook,['eng'],2011,0
9.78165E+12,American Community Voices,Larry L. Didlo,2011,,Westwood Books Publishing,2,[],no_ebook,['eng'],2011,0
9.78132E+12,Angkor Wat,Hellmut Issels,2011,,Blurb,3,"['Cambodia, description and travel']",no_ebook,['eng'],2011,0
9.78145E+12,Ballbusters,Jeff Burger,2011,256,CreateSpace Independent Publishing Platform,1,['Self-defense'],no_ebook,['eng'],2011,0
9.78146E+12,Her Husband-To-Be,Leigh Michaels,2011,,Harlequin Enterprises ULC,1,[],no_ebook,['eng'],2011,0
9.7813E+12,How to pass graduate psychometric tests,Mike Bryon,2011,247,Kogan Page,4,"['Study guides', 'Employment tests', 'Psychometrics']",printdisabled,['eng'],2011,0
9.78023E+12,Ash,James Herbert,2011,,Macmillan Publishers Limited,1,"['Fiction, horror']",no_ebook,['eng'],2011,0
9.78147E+12,Seven Laws Which Govern Divine Increase and Order,Neil Kennedy,2011,136,CreateSpace Independent Publishing Platform,1,"['Christian life', 'Self-realization, religious aspects']",no_ebook,['eng'],2011,0
9.78146E+12,Lost in the Woods,Fun London,2011,,Smashwords,1,[],no_ebook,['eng'],2011,0
9.78143E+12,"Personality Development, a Practical Self-Teaching Course, Unit 1",Estelle B. Hunter,2012,,"Wildside Press, LLC",1,[],no_ebook,['eng'],2012,0
9.78148E+12,Dinosaurs and Cherry Stems,Susan Ricci,2012,202,CreateSpace Independent Publishing Platform,1,[],no_ebook,['eng'],2012,0
9.78819E+12,Women in theological education,Limatula Longkumer,2012,238,BTESSC,1,"['Women in education', 'Religious education', 'Theology', 'Study and teaching']",no_ebook,['eng'],2012,0
9.78079E+12,Steve Carlton and the 1972 Phillies,Bruce Morgan,2012,,McFarland & Co.,2,"['Philadelphia Phillies (Baseball team)', 'Baseball players', 'Biography', 'History', 'Philadelphia phillies (baseball team)', 'Baseball, biography']",no_ebook,['eng'],2012,0
9.78112E+12,Bloomberg visual guide to candlestick charting,Michael C. Thomsett,2012,,Wiley,1,"['Investment analysis', 'Stocks', 'Charts, diagrams', 'Chart-Analyse', 'Stocks / Charts, diagrams', 'Technische Aktienanalyse', 'Corporations', 'Finance', 'Business enterprises', 'Analyse financière']",no_ebook,['eng'],2012,0
9.78998E+12,"Overview of development projects in The Gambia under President Jammeh's leadership, 1994 to 2012",Ebrima Jawara,2012,238,Ghaleb I Zeidan T/A Transphere Printing Services,1,"['Economic development projects', 'Economic development', 'Economic policy', 'Politics and government']",no_ebook,['eng'],2012,0
9.78147E+12,Choose Surthrival!,Kim Stilson,2012,166,CreateSpace Independent Publishing Platform,1,[],no_ebook,['eng'],2012,0
9.78141E+12,The power and the prize,Chet Cunningham,2012,,Wheeler Pub.,1,['Large type books'],borrowable,['eng'],2012,0
9.78194E+12,The Greatest Hoax,James M. Inhofe,2012,305,WorldNetDaily Books,1,"['climate change', 'Global warming', 'Climate change mitigation', 'Climatic changes', 'Energy tax', 'Energy policy', 'Energy policy, united states', 'Political aspects']",no_ebook,['eng'],2012,0
9.7816E+12,Reconnecting Reading and Writing,Alice S. Horning,2013,340,Parlor Press,3,"['Language arts', 'Reading', 'Rhetoric', 'Written communication', 'English language, composition and exercises']",printdisabled,['eng'],2013,0
9.78149E+12,Little Society of St. Rita Prayer Book,Little Society of St. Rita Staff,2013,56,CreateSpace Independent Publishing Platform,1,[],no_ebook,['eng'],2013,0
9.78145E+12,Owain Glyndwr,Terry Breverton,2013,222,Amberley Publishing,1,"['Glendower, owen, 1359?-1416?', 'Great britain, kings and rulers', 'Wales, biography', 'Wales, history']",no_ebook,['eng'],2013,0
9.78113E+12,Major Problems in American Sport History,Steven Riess,2013,512,Wadsworth,1,"['Sports, history', 'Sports', 'History', 'Sources']",no_ebook,['eng'],2013,0
9.78099E+12,Summers Drowning,Greg Schaffer,2013,,Second Chance Publishing,1,['Poetry (poetic works by one author)'],no_ebook,['eng'],2013,0
9.78184E+12,"Social Work Practice : Assessment, Planning, Intervention and Review",Greta Bradley,2013,168,"SAGE Publications, Limited",1,[],no_ebook,['eng'],2013,0
9.78366E+12,"E-Recruiting - der Schnelle, Moderne und Kostengunstige Weg Zu Den Richtigen Kandidaten?",Michael Heidt,2013,,GRIN Verlag GmbH,1,[],no_ebook,['eng'],2013,0
9.78144E+12,Lose with a Smile,Ring Lardner,2013,186,Read Books,1,[],no_ebook,['eng'],2013,0
9.78149E+12,App Cookbook,Caroline Fielding,2013,52,CreateSpace Independent Publishing Platform,1,[],no_ebook,['eng'],2013,0
9.78147E+12,"Legendary locals of Oak Cliff, Texas","Elliott, Alan C.",2013,127,"Legendary Locals, Arcadia Publishing",1,"['Biography', 'Pictorial works', 'History', 'Texas, description and travel', 'Texas, history, local', 'Legends, united states']",no_ebook,['eng'],2013,0
9.78141E+12,Foinavon,David Owen,2013,278,Bloomsbury Publishing PLC,1,"['Grand national (horse race)', 'Foinavon (Race horse)', 'Horse racing', 'History', 'Grand National (Horse race) (1967)']",no_ebook,['eng'],2013,0
9.78076E+12,Dead and Buried,Quintin Jardine,2013,480,Headline Publishing Group,1,"['Fiction, mystery & detective, police procedural', 'Skinner, bob (fictitious character), fiction', 'Edinburgh (scotland), fiction']",no_ebook,['eng'],2013,0
9.78149E+12,Violet's Christmas Adventure,Lisa Jones,2013,30,CreateSpace Independent Publishing Platform,1,[],no_ebook,['eng'],2013,0
9.78149E+12,300 Word Search Puzzles to Increase Your IQ,Kalman Toth M.A. M.PHIL.,2013,320,CreateSpace Independent Publishing Platform,1,[],no_ebook,['eng'],2013,0
9.78364E+12,Language in Cognition and Affect,Ewa Piechurska-Kuciel,2013,354,Springer,2,"['Second language acquisition', 'Psycholinguistics', 'Language and languages, origin', 'Linguistic geography']",no_ebook,['eng'],2013,0
9.78025E+12,Rethinking the Messianic Idea in Judaism,Elisheva Carlebach,2014,,Indiana University Press,1,['Messianic judaism'],no_ebook,['eng'],2014,0
9.7803E+12,Selected Poems,Seán Ó Ríordáin,2014,288,Yale University Press,2,['Poetry (poetic works by one author)'],no_ebook,['eng'],2014,0
9.78158E+12,"I forgive you, Ronald Reagan",John S. Anastasi,2014,76,Dramatic Publishing Company,1,['Drama'],borrowable,['eng'],2014,0
9.78148E+12,Video Keno,Marcia,2014,37,BookBaby,1,[],no_ebook,['eng'],2014,0
9.78082E+12,Thinking en español,Jesús Rosales,2014,236,University of Arizona Press,2,"['American literature', 'Mexican American authors', 'History and criticism', 'Theory', 'Critics', 'Interviews', 'Criticism', 'History', 'Mexican Americans', 'Intellectual life']",no_ebook,['eng'],2014,0
9.78151E+12,Falling for You,S. J. Miller,2014,134,CreateSpace Independent Publishing Platform,1,[],no_ebook,['eng'],2014,0
9.7815E+12,Clammy Clam,Chris Raschka,2014,,"Open Road Integrated Media, Inc.",2,"[""Children's fiction"", 'Bashfulness, fiction', 'Marine animals, fiction', 'Humorous stories']",no_ebook,['eng'],2014,0
9.78189E+12,Om Shanti,Dadi Janki,2014,,Brahma Kumaris Publications,1,[],no_ebook,['eng'],2014,0
9.7815E+12,Independence Lake Fun Book,Jobe Leonard,2014,106,CreateSpace Independent Publishing Platform,1,[],no_ebook,['eng'],2014,0
9.78149E+12,Providing Services,Alison Adams,2014,,Benchmark Education Company,1,[],no_ebook,['eng'],2014,0
9.78154E+12,Timecrack,William Long,2014,377,BookBaby,2,[],borrowable,['eng'],2014,0
9.78054E+12,The Nixon tapes,Douglas Brinkley,2014,758,Houghton Mifflin Harcourt,1,"['Vietnam War', '20th Century', 'Political and social views', 'Archives', 'POLITICAL SCIENCE', 'Military', 'Diplomatic relations', 'Außenpolitik', 'Audiotapes', 'HISTORY']",borrowable,['eng'],2014,0
9.78113E+12,Political Ecology of Climate Change Adaptation,Marcus Taylor,2014,215,Routledge,7,"['Climatic changes', 'Sustainable development', 'Rural development, asia', 'Political ecology', 'BUSINESS & ECONOMICS / Development / Economic Development', 'BUSINESS & ECONOMICS / Development / Sustainable Development', 'BUSINESS & ECONOMICS / Environmental Economics', 'Climate Change', 'Écologie politique', 'Climat']",no_ebook,['eng'],2014,0
9.78194E+12,The house behind the trees,Doug Abell,2014,,Leonine Publishers,1,[],borrowable,['eng'],2014,0
9.78154E+12,Frontier History Along Idaho's Clearwater River,John Bradbury,2014,162,History Press Library Editions,2,[],no_ebook,['eng'],2014,0
9.7815E+12,Weaponry : Chapter 3,Astra Crompton,2014,86,CreateSpace Independent Publishing Platform,1,[],no_ebook,['eng'],2014,0
